Index,Name,Description,Brand,Category,Price,Currency,Stock,EAN,Color,Size,Availability,Internal ID
1,Thermostat Drone Heater,Consumer approach woman us those star.,Bradford-Yu,Kitchen Appliances,74,USD,139,8.61979E+12,Orchid,Medium,backorder,38
2,Ultra Speaker Iron Grill Advanced One,Point suggest easy money operation could white.,Douglas Group,Fitness Equipment,510,USD,351,3.05722E+12,MediumSeaGreen,Small,backorder,27
3,Watch Headphones Kettle,Reach husband education.,Landry-Austin,Beauty & Personal Care,254,USD,409,9.82525E+12,Lavender,XXL,pre_order,2
4,Portable Toaster Clock Monitor Silent,Always choose school poor table main.,"Odom, Norton and Foster",Makeup,69,USD,119,9.49081E+12,Pink,XL,in_stock,94
5,Pro Toaster Oven,Worry put discuss easy back too career.,"Fowler, Mendoza and Mcdaniel",Automotive,525,USD,727,4.72665E+12,LightCoral,XL,in_stock,95
6,Mini Speakerphone Mixer,Tell figure discussion chair red keep tough.,Burton-Gould,Team Sports,413,USD,566,9.01645E+12,OliveDrab,Medium,out_of_stock,44
7,Eco Cooler Printer Speaker Prime Prime,Cover close myself camera red evening.,"Soto, Raymond and Doyle",Health & Wellness,621,USD,245,4.11609E+12,Moccasin,Extra Large,limited_stock,1
8,Webcam Trimmer Projector,Fear fight until market court worry security trouble.,"Padilla, Dunn and Pruitt",Laptops & Computers,414,USD,559,4.97051E+12,HoneyDew,XL,limited_stock,27
9,Silent Headphones Stove Wireless Air Clean,Truth gun Democrat commercial.,Hughes and Sons,Home & Kitchen,858,USD,525,4.34929E+12,Chocolate,5x7 in,discontinued,16
10,Wireless Charger Air Premium Ultra,Public security home.,Mcbride-Wyatt,Health & Wellness,153,USD,550,1.30118E+12,MediumPurple,S,in_stock,4
11,Portable Fan Monitor Toaster Pro Smart Air,Number create north effect deep third hard.,"Wilkins, Horne and Farrell",Health & Wellness,738,USD,417,5.52407E+12,LightPink,12x18 in,limited_stock,44
12,Mini Iron Drone,Small meet inside career walk company.,"Miranda, Lucero and Blevins",Shoes & Footwear,367,USD,511,1.84235E+12,WhiteSmoke,S,in_stock,44
13,Smart Grill Tablet Fridge Sense,Eat describe discussion today.,Marshall Group,Grooming Tools,867,USD,679,5.0998E+12,SaddleBrown,XL,discontinued,37
14,Portable Grill Air Edge,Probably someone several moment if.,Tanner LLC,Clothing & Apparel,356,USD,904,1.60702E+12,DarkBlue,S,backorder,88
